Year,Post Count,Total Likes,Total Collections,Total Comments,Total Shares
2019,1,21,3,5,3
2020,23,2808693,249428,85891,466714
2021,31,2667698,96450,186069,598414
2022,31,12057,1123,1437,2607
2023,161,3296630,983269,256280,1510860
2024,181,4939627,1410565,213842,2183542
2025,370,4137632,1599690,263836,1952507
